2021-04-25 09:48:27.219 yinlu [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2021-04-25 09:48:27.259 yinlu [restartedMain] INFO  c.y.bi.system.BiSystemApplication - Starting BiSystemApplication on XM10-1802150009 with PID 11712 (D:\ideaProject\bi-system\target\classes started by dzhao1 in D:\ideaProject\bi-system)
2021-04-25 09:48:27.262 yinlu [restartedMain] INFO  c.y.bi.system.BiSystemApplication - No active profile set, falling back to default profiles: default
2021-04-25 09:48:27.359 yinlu [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-04-25 09:48:27.362 yinlu [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-04-25 09:48:28.966 yinlu [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2021-04-25 09:48:28.976 yinlu [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2021-04-25 09:48:28.977 yinlu [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-04-25 09:48:28.977 yinlu [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-04-25 09:48:29.066 yinlu [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-04-25 09:48:29.067 yinlu [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1702 ms
2021-04-25 09:48:30.267 yinlu [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-25 09:48:30.470 yinlu [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-04-25 09:48:30.495 yinlu [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2021-04-25 09:48:30.526 yinlu [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
2021-04-25 09:48:30.538 yinlu [restartedMain] INFO  c.y.bi.system.BiSystemApplication - Started BiSystemApplication in 4.159 seconds (JVM running for 5.781)
2021-04-25 09:48:37.327 yinlu [http-nio-8089-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-04-25 09:48:37.327 yinlu [http-nio-8089-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-04-25 09:48:37.335 yinlu [http-nio-8089-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 8 ms
2021-04-25 09:48:37.465 yinlu [http-nio-8089-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Starting...
2021-04-25 09:48:38.385 yinlu [http-nio-8089-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - MyHikariCP - Start completed.
2021-04-25 11:00:23.189 yinlu [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2021-04-25 11:00:23.418 yinlu [restartedMain] INFO  c.y.bi.system.BiSystemApplication - Starting BiSystemApplication on XM10-1802150009 with PID 1848 (D:\ideaProject\bi-system\target\classes started by dzhao1 in D:\ideaProject\bi-system)
2021-04-25 11:00:23.419 yinlu [restartedMain] INFO  c.y.bi.system.BiSystemApplication - No active profile set, falling back to default profiles: default
2021-04-25 11:00:23.565 yinlu [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-04-25 11:00:23.566 yinlu [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-04-25 11:00:26.475 yinlu [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8089 (http)
2021-04-25 11:00:26.486 yinlu [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8089"]
2021-04-25 11:00:26.487 yinlu [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-04-25 11:00:26.487 yinlu [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2021-04-25 11:00:26.598 yinlu [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-04-25 11:00:26.598 yinlu [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3029 ms
2021-04-25 11:00:28.022 yinlu [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-25 11:00:28.299 yinlu [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-04-25 11:00:28.322 yinlu [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8089"]
2021-04-25 11:00:28.439 yinlu [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8089 (http) with context path ''
